Date,Open,High,Low,Close,Volume
2023-11-30 09:15:00+05:30,569.75,570,569.2,569.65,212023
2023-11-30 09:16:00+05:30,569.7,569.95,569.2,569.4,92549
2023-11-30 09:17:00+05:30,569.4,569.5,568.5,569.1,108737
2023-11-30 09:18:00+05:30,568.9,569.3,568.8,569.15,61916
2023-11-30 09:19:00+05:30,569.15,569.15,568.6,568.8,77029
2023-11-30 09:20:00+05:30,568.85,568.95,568.25,568.3,40769
2023-11-30 09:21:00+05:30,568.3,568.4,568.05,568.3,31124
2023-11-30 09:22:00+05:30,568.35,568.75,568.1,568.75,37134
2023-11-30 09:23:00+05:30,568.75,568.8,568.25,568.6,51523
2023-11-30 09:24:00+05:30,568.6,569.2,568.5,569.1,61924
2023-11-30 09:25:00+05:30,569.15,570.05,569.05,570.05,84284
2023-11-30 09:26:00+05:30,569.95,570.1,569.4,569.5,62418
2023-11-30 09:27:00+05:30,569.5,569.9,569.5,569.5,69995
2023-11-30 09:28:00+05:30,569.65,569.85,569.5,569.85,40608
2023-11-30 09:29:00+05:30,569.85,569.95,569.5,569.5,37332
2023-11-30 09:30:00+05:30,569.6,569.75,569.05,569.15,68672
2023-11-30 09:31:00+05:30,569.15,569.4,568.9,569.05,35539
2023-11-30 09:32:00+05:30,569.25,569.55,569,569.3,20296
2023-11-30 09:33:00+05:30,569.2,569.35,569,569.1,11765
2023-11-30 09:34:00+05:30,569.05,569.2,568.9,568.9,15176
2023-11-30 09:35:00+05:30,569,569.2,568.55,569,33415
2023-11-30 09:36:00+05:30,569.1,569.25,568.8,569.05,16908
2023-11-30 09:37:00+05:30,569.25,569.25,568.75,568.85,26602
2023-11-30 09:38:00+05:30,568.85,569.15,568.6,569,42106
2023-11-30 09:39:00+05:30,568.9,569.05,568.6,568.6,13338
2023-11-30 09:40:00+05:30,568.65,569,568.6,568.8,18070
2023-11-30 09:41:00+05:30,568.75,568.9,568.55,568.75,11511
2023-11-30 09:42:00+05:30,568.65,569,568.3,568.9,46269
2023-11-30 09:43:00+05:30,568.9,569.2,568.65,569.2,31529
2023-11-30 09:44:00+05:30,569.2,569.2,568.65,568.9,15960
2023-11-30 09:45:00+05:30,568.9,569.15,568.6,568.6,35883
2023-11-30 09:46:00+05:30,568.6,568.9,568.55,568.8,7661
2023-11-30 09:47:00+05:30,568.9,569,568.05,568.05,47338
